"Sortie ID","Route ID","Model ID","Drone ID","Battery ID","Preparation Start (s)","Takeoff (s)","Return to O01 (s)","Battery Occupancy Duration (s)","Battery Ready (s)","Cargo Box ID","Delivery Completion (s)"
"Q2-001","Q2-1339904b693ccbf6","A","U02","A-BAT-02","0","330","1552.1111816650086","2583.847312401337","2583.847312401337","S013-MED-01","1023.5889241658377"
"Q2-002","Q2-20034c670aabcd6d","A","U03","A-BAT-03","0","330","1552.1111816650086","2608.06610875125","2608.06610875125","S013-WAT-01","1023.5889241658377"
"Q2-003","Q2-42b69e95aaf6dfb5","A","U04","A-BAT-04","0","360","1383.7183510917214","2229.338242930773","2229.338242930773","S011-FOD-01","863.2001261684193"
"Q2-003","Q2-42b69e95aaf6dfb5","A","U04","A-BAT-04","0","360","1383.7183510917214","2229.338242930773","2229.338242930773","S011-WAT-01","1054.8915582566356"
"Q2-004","Q2-6304978344c22313","C","U08","C-BAT-02","0","540","1626.1703918789085","3249.6847269959785","3249.6847269959785","S001-MED-01","1062.2701959394544"
"Q2-004","Q2-6304978344c22313","C","U08","C-BAT-02","0","540","1626.1703918789085","3249.6847269959785","3249.6847269959785","S001-MED-02","1098.2701959394544"
"Q2-004","Q2-6304978344c22313","C","U08","C-BAT-02","0","540","1626.1703918789085","3249.6847269959785","3249.6847269959785","S001-WAT-01","1134.2701959394544"
"Q2-004","Q2-6304978344c22313","C","U08","C-BAT-02","0","540","1626.1703918789085","3249.6847269959785","3249.6847269959785","S001-WAT-02","1170.2701959394544"
"Q2-004","Q2-6304978344c22313","C","U08","C-BAT-02","0","540","1626.1703918789085","3249.6847269959785","3249.6847269959785","S001-WAT-06","1206.2701959394544"
"Q2-004","Q2-6304978344c22313","C","U08","C-BAT-02","0","540","1626.1703918789085","3249.6847269959785","3249.6847269959785","S001-WAT-07","1242.2701959394544"
"Q2-004","Q2-6304978344c22313","C","U08","C-BAT-02","0","540","1626.1703918789085","3249.6847269959785","3249.6847269959785","S001-FOD-03","1278.2701959394544"
"Q2-004","Q2-6304978344c22313","C","U08","C-BAT-02","0","540","1626.1703918789085","3249.6847269959785","3249.6847269959785","S001-HYG-02","1314.2701959394544"
"Q2-005","Q2-8e93c6294691a0b8","B","U06","B-BAT-02","0","390","1869.7521946190163","3463.9156684860036","3463.9156684860036","S014-MED-01","1182.432763976175"
"Q2-005","Q2-8e93c6294691a0b8","B","U06","B-BAT-02","0","390","1869.7521946190163","3463.9156684860036","3463.9156684860036","S014-WAT-01","1212.432763976175"
"Q2-005","Q2-8e93c6294691a0b8","B","U06","B-BAT-02","0","390","1869.7521946190163","3463.9156684860036","3463.9156684860036","S014-FOD-01","1242.432763976175"
"Q2-006","Q2-cac443ad6281a25a","C","U07","C-BAT-01","0","450","1907.5754478361764","3664.705565525088","3664.705565525088","S007-MED-01","1203.7477239180882"
"Q2-006","Q2-cac443ad6281a25a","C","U07","C-BAT-01","0","450","1907.5754478361764","3664.705565525088","3664.705565525088","S007-WAT-01","1239.7477239180882"
"Q2-006","Q2-cac443ad6281a25a","C","U07","C-BAT-01","0","450","1907.5754478361764","3664.705565525088","3664.705565525088","S007-WAT-02","1275.7477239180882"
"Q2-006","Q2-cac443ad6281a25a","C","U07","C-BAT-01","0","450","1907.5754478361764","3664.705565525088","3664.705565525088","S007-FOD-01","1311.7477239180882"
"Q2-006","Q2-cac443ad6281a25a","C","U07","C-BAT-01","0","450","1907.5754478361764","3664.705565525088","3664.705565525088","S007-HYG-01","1347.7477239180882"
"Q2-007","Q2-f5aa913e51fa231b","A","U01","A-BAT-01","0","360","2351.745245775131","3766.292268218373","3766.292268218373","S011-MED-01","863.2001261684193"
"Q2-007","Q2-f5aa913e51fa231b","A","U01","A-BAT-01","0","360","2351.745245775131","3766.292268218373","3766.292268218373","S002-WAT-01","1631.8164836681747"
"Q2-008","Q2-f7b4efd57b02977e","B","U05","B-BAT-01","0","390","1922.7345559700407","3782.107403132738","3782.107403132738","S012-MED-01","1211.2972779850202"
"Q2-008","Q2-f7b4efd57b02977e","B","U05","B-BAT-01","0","390","1922.7345559700407","3782.107403132738","3782.107403132738","S012-WAT-01","1241.2972779850202"
"Q2-008","Q2-f7b4efd57b02977e","B","U05","B-BAT-01","0","390","1922.7345559700407","3782.107403132738","3782.107403132738","S012-FOD-01","1271.2972779850202"
"Q2-009","Q2-361f0f1a17ff5922","A","U04","A-BAT-05","1383.7183510917214","1713.7183510917214","3327.4558753056344","3273.2622536805775","4656.980604772299","S002-WAT-03","2607.527113198678"
"Q2-010","Q2-d8ec8e9e2c46850f","A","U02","A-BAT-06","1552.1111816650086","1882.1111816650086","3495.8487058789215","3273.2622536805775","4825.373435345586","S002-WAT-02","2775.9199437719653"
"Q2-011","Q2-202bd3640df64ba5","C","U08","C-BAT-03","1626.1703918789085","2106.1703918789085","3187.729917819255","3098.523475265992","4724.693867144901","S006-MED-01","2655.595154849082"
"Q2-011","Q2-202bd3640df64ba5","C","U08","C-BAT-03","1626.1703918789085","2106.1703918789085","3187.729917819255","3098.523475265992","4724.693867144901","S006-WAT-01","2691.595154849082"
"Q2-011","Q2-202bd3640df64ba5","C","U08","C-BAT-03","1626.1703918789085","2106.1703918789085","3187.729917819255","3098.523475265992","4724.693867144901","S006-WAT-02","2727.595154849082"
"Q2-011","Q2-202bd3640df64ba5","C","U08","C-BAT-03","1626.1703918789085","2106.1703918789085","3187.729917819255","3098.523475265992","4724.693867144901","S006-WAT-03","2763.595154849082"
"Q2-011","Q2-202bd3640df64ba5","C","U08","C-BAT-03","1626.1703918789085","2106.1703918789085","3187.729917819255","3098.523475265992","4724.693867144901","S006-FOD-01","2799.595154849082"
"Q2-011","Q2-202bd3640df64ba5","C","U08","C-BAT-03","1626.1703918789085","2106.1703918789085","3187.729917819255","3098.523475265992","4724.693867144901","S006-HYG-01","2835.595154849082"
"Q2-012","Q2-359cc2d3ad5b1e2f","B","U06","B-BAT-03","1869.7521946190163","2259.7521946190163","3686.446128540928","3659.176502883819","5528.928697502835","S002-MED-01","3030.039161579972"
"Q2-012","Q2-359cc2d3ad5b1e2f","B","U06","B-BAT-03","1869.7521946190163","2259.7521946190163","3686.446128540928","3659.176502883819","5528.928697502835","S002-WAT-04","3060.039161579972"
"Q2-012","Q2-359cc2d3ad5b1e2f","B","U06","B-BAT-03","1869.7521946190163","2259.7521946190163","3686.446128540928","3659.176502883819","5528.928697502835","S002-FOD-02","3090.039161579972"
"Q2-013","Q2-118927574a53aac6","C","U07","C-BAT-04","1907.5754478361764","2387.5754478361764","4208.636514429402","4800.820370848783","6708.3958186849595","S004-MED-01","3311.0759811327894"
"Q2-013","Q2-118927574a53aac6","C","U07","C-BAT-04","1907.5754478361764","2387.5754478361764","4208.636514429402","4800.820370848783","6708.3958186849595","S004-WAT-01","3347.0759811327894"
"Q2-013","Q2-118927574a53aac6","C","U07","C-BAT-04","1907.5754478361764","2387.5754478361764","4208.636514429402","4800.820370848783","6708.3958186849595","S004-WAT-02","3383.0759811327894"
"Q2-013","Q2-118927574a53aac6","C","U07","C-BAT-04","1907.5754478361764","2387.5754478361764","4208.636514429402","4800.820370848783","6708.3958186849595","S004-WAT-03","3419.0759811327894"
"Q2-013","Q2-118927574a53aac6","C","U07","C-BAT-04","1907.5754478361764","2387.5754478361764","4208.636514429402","4800.820370848783","6708.3958186849595","S004-FOD-01","3455.0759811327894"
"Q2-013","Q2-118927574a53aac6","C","U07","C-BAT-04","1907.5754478361764","2387.5754478361764","4208.636514429402","4800.820370848783","6708.3958186849595","S004-HYG-01","3491.0759811327894"
