Point ID,Name,Category,OSM ID,Location,Longitude,Latitude
ST145,Dazhan,Village,11634881512,Within Zhenlong Township,109.2191546,23.0776627
ST146,Guma,Village,11634881632,Within Zhenlong Township,109.2019376,23.0742455
ST147,Zhuwa,Village,11634881796,Outside Zhenlong Township,109.1738636,23.0938857
ST148,Nalu,Village,11634881841,Within Zhenlong Township,109.2201329,23.063406
ST149,Gulu,Village,11634881882,Within Zhenlong Township,109.2097858,23.058543
ST150,Natuo,Village,11634882054,Within Zhenlong Township,109.1894467,23.0497624
ST151,Liuzao,Village,11634882329,Within Zhenlong Township,109.168918,23.0409654
ST152,Duchang,Village,11634882330,Within Zhenlong Township,109.166781,23.0365922
ST153,Naxu,Village,11634882331,Within Zhenlong Township,109.1728034,23.036716
ST154,Fozi,Village,11634882332,Within Zhenlong Township,109.1790201,23.0275429
ST155,Yinkeng,Village,11634882384,Within Zhenlong Township,109.1915989,23.0358083
ST156,Nasang,Village,11634882385,Within Zhenlong Township,109.1931438,23.0294971
ST157,Liugui,Village,11634882436,Within Zhenlong Township,109.1974591,23.0424149
ST158,Nacong,Village,11634882604,Within Zhenlong Township,109.2189672,23.0312847
ST159,Pingwang,Village,11634882605,Within Zhenlong Township,109.2293012,23.0248391
ST160,Nalong,Village,11634882606,Within Zhenlong Township,109.2368288,23.0398887
ST161,Shangliang,Village,11634882607,Within Zhenlong Township,109.2266493,23.0561427
ST162,Sancha,Village,11634882851,Outside Zhenlong Township,109.1395408,22.971984
ST163,Luoguan,Village,11637200196,Outside Zhenlong Township,109.0741986,23.0765845
ST164,Hengli,Village,11637200490,Outside Zhenlong Township,109.1475567,23.110668
ST165,Naye,Village,11637200491,Outside Zhenlong Township,109.1345105,23.1146782
ST166,Huangxing,Village,11637200697,Outside Zhenlong Township,109.0865984,23.1169218
