Sortie ID,Resource Type,Resource ID,Model ID,Occupied From (s),Occupied Until (s),Return Time (s),Charge Start (s),Battery Ready (s)
Q2-001,drone,U02,A,0.0,1552.1111816650086,1552.1111816650086,,
Q2-001,battery,A-BAT-02,A,0.0,2583.847312401337,1552.1111816650086,1552.1111816650086,2583.847312401337
Q2-002,drone,U03,A,0.0,1552.1111816650086,1552.1111816650086,,
Q2-002,battery,A-BAT-03,A,0.0,2608.06610875125,1552.1111816650086,1552.1111816650086,2608.06610875125
Q2-003,drone,U04,A,0.0,1383.7183510917214,1383.7183510917214,,
Q2-003,battery,A-BAT-04,A,0.0,2229.338242930773,1383.7183510917214,1383.7183510917214,2229.338242930773
Q2-004,drone,U08,C,0.0,1626.1703918789085,1626.1703918789085,,
Q2-004,battery,C-BAT-02,C,0.0,3249.6847269959785,1626.1703918789085,1626.1703918789085,3249.6847269959785
Q2-005,drone,U06,B,0.0,1869.7521946190163,1869.7521946190163,,
Q2-005,battery,B-BAT-02,B,0.0,3463.9156684860036,1869.7521946190163,1869.7521946190163,3463.9156684860036
Q2-006,drone,U07,C,0.0,1907.5754478361764,1907.5754478361764,,
Q2-006,battery,C-BAT-01,C,0.0,3664.705565525088,1907.5754478361764,1907.5754478361764,3664.705565525088
Q2-007,drone,U01,A,0.0,2351.745245775131,2351.745245775131,,
Q2-007,battery,A-BAT-01,A,0.0,3766.292268218373,2351.745245775131,2351.745245775131,3766.292268218373
Q2-008,drone,U05,B,0.0,1922.7345559700407,1922.7345559700407,,
Q2-008,battery,B-BAT-01,B,0.0,3782.107403132738,1922.7345559700407,1922.7345559700407,3782.107403132738
Q2-009,drone,U04,A,1383.7183510917214,3327.4558753056344,3327.4558753056344,,
Q2-009,battery,A-BAT-05,A,1383.7183510917214,4656.980604772299,3327.4558753056344,3327.4558753056344,4656.980604772299
Q2-010,drone,U02,A,1552.1111816650086,3495.8487058789215,3495.8487058789215,,
Q2-010,battery,A-BAT-06,A,1552.1111816650086,4825.373435345586,3495.8487058789215,3495.8487058789215,4825.373435345586
Q2-011,drone,U08,C,1626.1703918789085,3187.729917819255,3187.729917819255,,
Q2-011,battery,C-BAT-03,C,1626.1703918789085,4724.693867144901,3187.729917819255,3187.729917819255,4724.693867144901
Q2-012,drone,U06,B,1869.7521946190163,3686.446128540928,3686.446128540928,,
Q2-012,battery,B-BAT-03,B,1869.7521946190163,5528.928697502835,3686.446128540928,3686.446128540928,5528.928697502835
Q2-013,drone,U07,C,1907.5754478361764,4208.636514429402,4208.636514429402,,
Q2-013,battery,C-BAT-04,C,1907.5754478361764,6708.3958186849595,4208.636514429402,4208.636514429402,6708.3958186849595
Q2-014,drone,U05,B,1922.7345559700407,3478.1114584163797,3478.1114584163797,,
Q2-014,battery,B-BAT-04,B,1922.7345559700407,4934.826522938946,3478.1114584163797,3478.1114584163797,4934.826522938946
Q2-015,drone,U03,A,2229.338242930773,4173.075767144686,4173.075767144686,,
Q2-015,battery,A-BAT-04,A,2229.338242930773,5480.6326401117485,4173.075767144686,4173.075767144686,5480.6326401117485
Q2-016,drone,U01,A,2583.847312401337,4527.5848366152495,4527.5848366152495,,
Q2-016,battery,A-BAT-02,A,2583.847312401337,5829.549383124401,4527.5848366152495,4527.5848366152495,5829.549383124401
Q2-017,drone,U08,C,3249.6847269959785,5619.795871333059,5619.795871333059,,
Q2-017,battery,C-BAT-02,C,3249.6847269959785,8014.5043653640805,5619.795871333059,5619.795871333059,8014.5043653640805
Q2-018,drone,U05,B,3478.1114584163797,5558.654556692262,5558.654556692262,,
Q2-018,battery,B-BAT-02,B,3478.1114584163797,7429.974952696189,5558.654556692262,5558.654556692262,7429.974952696189
Q2-019,drone,U06,B,3782.107403132738,5610.395987153188,5610.395987153188,,
Q2-019,battery,B-BAT-01,B,3782.107403132738,7276.972654043635,5610.395987153188,5610.395987153188,7276.972654043635
Q2-020,drone,U07,C,4208.636514429402,6408.348599021577,6408.348599021577,,
Q2-020,battery,C-BAT-01,C,4208.636514429402,8822.28402412737,6408.348599021577,6408.348599021577,8822.28402412737
Q2-021,drone,U05,B,5558.654556692262,7117.096804086668,7117.096804086668,,
Q2-021,battery,B-BAT-03,B,5558.654556692262,8692.132015416151,7117.096804086668,7117.096804086668,8692.132015416151
Q2-022,drone,U06,B,5610.395987153188,7000.866267446132,7000.866267446132,,
Q2-022,battery,B-BAT-04,B,5610.395987153188,8324.305282476718,7000.866267446132,7000.866267446132,8324.305282476718
Q2-023,drone,U08,C,5619.795871333059,7496.991029528602,7496.991029528602,,
Q2-023,battery,C-BAT-03,C,5619.795871333059,9473.842219852348,7496.991029528602,7496.991029528602,9473.842219852348
Q2-024,drone,U07,C,6708.3958186849595,8268.566210563868,8268.566210563868,,
Q2-024,battery,C-BAT-04,C,6708.3958186849595,9913.256246764011,8268.566210563868,8268.566210563868,9913.256246764011
