Scenario,Sortie ID,Service Area ID,Model ID,Cargo Box ID List,Total Mass (kg),Total Volume (m³),Round-Trip Time (s),Sortie Energy (kWh),Return SOC (%),Operation Time (s),Batch ID
r0.20_a0.9_b1.0,Q1-005,S003,B,"S003-FOD-02, S003-MED-01, S003-WAT-01",25.0,0.067,1690.5430982758824,2.5222532392405137,36.94366901898716,2080.5430982758826,S003|B|00026
r0.20_a0.9_b1.0,Q1-006,S003,C,"S003-FOD-01, S003-HYG-01, S003-WAT-02, S003-WAT-03, S003-WAT-04",56.0,0.14400000000000002,1920.1111443370805,5.2151622337312,34.81047207836,2370.1111443370805,S003|C|00229
r0.20_a0.9_b1.0,Q1-007,S004,C,"S004-FOD-01, S004-HYG-01, S004-MED-01, S004-WAT-01, S004-WAT-02, S004-WAT-03",59.0,0.156,1821.0610665932259,5.555355736048517,30.55805329939354,2301.061066593226,S004|C|00063
r0.20_a0.9_b1.0,Q1-008,S005,C,"S005-FOD-01, S005-HYG-01, S005-MED-01, S005-WAT-01, S005-WAT-02, S005-WAT-03",59.0,0.156,1397.1951581955423,3.8131684286315224,52.33539464210597,1877.1951581955423,S005|C|00063
r0.20_a0.9_b1.0,Q1-009,S006,C,"S006-FOD-01, S006-HYG-01, S006-MED-01, S006-WAT-01, S006-WAT-02, S006-WAT-03",59.0,0.156,1081.5595259403467,2.3512060125500134,70.60992484312483,1561.5595259403467,S006|C|00063
r0.20_a0.9_b1.0,Q1-010,S007,C,"S007-FOD-01, S007-HYG-01, S007-MED-01, S007-WAT-01, S007-WAT-02",45.0,0.129,1457.5754478361764,3.0908831720228953,61.36396034971381,1907.5754478361764,S007|C|00031
r0.20_a0.9_b1.0,Q1-011,S008,C,"S008-FOD-01, S008-HYG-01, S008-MED-01, S008-WAT-01, S008-WAT-02",45.0,0.129,1749.7120845921743,5.265824299284405,34.17719625894494,2199.7120845921745,S008|C|00031
r0.20_a0.9_b1.0,Q1-012,S009,B,"S009-FOD-01, S009-MED-01, S009-WAT-01",25.0,0.067,1168.4422473944055,1.8938053964911417,52.65486508772146,1558.4422473944055,S009|B|00007
r0.20_a0.9_b1.0,Q1-013,S010,B,"S010-FOD-01, S010-MED-01, S010-WAT-01",25.0,0.067,1165.376902446339,1.653426194773975,58.66434513065062,1555.376902446339,S010|B|00007
r0.20_a0.9_b1.0,Q1-014,S011,B,"S011-FOD-01, S011-MED-01, S011-WAT-01",25.0,0.067,798.4236501116584,0.9743234755480449,75.64191311129888,1188.4236501116584,S011|B|00007
r0.20_a0.9_b1.0,Q1-015,S012,B,"S012-FOD-01, S012-MED-01, S012-WAT-01",25.0,0.067,1532.7345559700407,2.490171491331752,37.7457127167062,1922.7345559700407,S012|B|00007
r0.20_a0.9_b1.0,Q1-016,S013,B,"S013-FOD-01, S013-MED-01, S013-WAT-01",25.0,0.067,1120.4702802929446,1.6526938831730196,58.68265292067451,1510.4702802929446,S013|B|00007
r0.20_a0.9_b1.0,Q1-017,S014,B,"S014-FOD-01, S014-MED-01, S014-WAT-01",25.0,0.067,1479.7521946190163,1.9480804223520714,51.29798944119821,1869.7521946190163,S014|B|00007
r0.20_a0.9_b1.0,Q1-018,S015,B,"S015-FOD-01, S015-MED-01, S015-WAT-01",25.0,0.067,1438.2885840204503,2.0942569144480627,47.643577138798435,1828.2885840204503,S015|B|00007
