Scenario,Sample ID,Sample status,Sorties,Energy (kWh),Operation Time (s),Selected batch IDs
r0.20_a1.1_b1.0,2,formal sampled,20,69.44511987311202,36329.58299528407,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00037;S004|C|00026;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.1_b1.0,3,formal sampled,21,69.10972367561854,38011.555525025986,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.1_b1.0,4,formal sampled,21,69.21020223509615,38005.555525025986,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00037;S004|C|00026;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.1_b1.0,5,formal sampled,22,68.9795824263474,39685.79048077937,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.1_b1.1,1,formal sampled,20,69.6195931046809,36335.58299528407,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.1_b1.1,2,formal sampled,20,69.72007166415851,36329.58299528407,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00037;S004|C|00026;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.1_b1.1,3,formal sampled,21,69.39257336510117,38011.555525025986,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.1_b1.1,4,formal sampled,21,69.49305192457878,38005.555525025986,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00037;S004|C|00026;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.20_a1.1_b1.1,5,formal sampled,22,69.27245131551234,39685.79048077937,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a0.9_b0.9,1,formal sampled,18,53.21850231740343,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
