Sortie ID,Sequence,Node,Cargo Box IDs,Start Time (s),Return Time (s),Drone ID,Battery ID
Q2-001,0,O01,,0.0,2041.8120186387082,U07,C-BAT-01
Q2-001,1,S002,"S002-WAT-01,S002-WAT-02,S002-WAT-03,S002-FOD-01,S002-HYG-01",0.0,2041.8120186387082,U07,C-BAT-01
Q2-001,2,O01,,0.0,2041.8120186387082,U07,C-BAT-01
Q2-002,0,O01,,0.0,1552.1111816650086,U01,A-BAT-01
Q2-002,1,S013,S013-MED-01,0.0,1552.1111816650086,U01,A-BAT-01
Q2-002,2,O01,,0.0,1552.1111816650086,U01,A-BAT-01
Q2-003,0,O01,,0.0,1552.1111816650086,U02,A-BAT-02
Q2-003,1,S013,S013-WAT-01,0.0,1552.1111816650086,U02,A-BAT-02
Q2-003,2,O01,,0.0,1552.1111816650086,U02,A-BAT-02
Q2-004,0,O01,,0.0,1628.6138747133843,U04,A-BAT-04
Q2-004,1,S009,S009-WAT-01,0.0,1628.6138747133843,U04,A-BAT-04
Q2-004,2,O01,,0.0,1628.6138747133843,U04,A-BAT-04
Q2-005,0,O01,,0.0,1628.6138747133843,U03,A-BAT-03
Q2-005,1,S009,S009-MED-01,0.0,1628.6138747133843,U03,A-BAT-03
Q2-005,2,O01,,0.0,1628.6138747133843,U03,A-BAT-03
Q2-006,0,O01,,0.0,1869.7521946190163,U06,B-BAT-02
Q2-006,1,S014,"S014-MED-01,S014-WAT-01,S014-FOD-01",0.0,1869.7521946190163,U06,B-BAT-02
Q2-006,2,O01,,0.0,1869.7521946190163,U06,B-BAT-02
Q2-007,0,O01,,0.0,1907.5754478361764,U08,C-BAT-02
Q2-007,1,S007,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01",0.0,1907.5754478361764,U08,C-BAT-02
Q2-007,2,O01,,0.0,1907.5754478361764,U08,C-BAT-02
Q2-008,0,O01,,0.0,1922.7345559700407,U05,B-BAT-01
Q2-008,1,S012,"S012-MED-01,S012-WAT-01,S012-FOD-01",0.0,1922.7345559700407,U05,B-BAT-01
Q2-008,2,O01,,0.0,1922.7345559700407,U05,B-BAT-01
Q2-009,0,O01,,1552.1111816650086,2743.0123269294972,U02,A-BAT-06
Q2-009,1,S001,S001-WAT-04,1552.1111816650086,2743.0123269294972,U02,A-BAT-06
Q2-009,2,O01,,1552.1111816650086,2743.0123269294972,U02,A-BAT-06
Q2-010,0,O01,,1552.1111816650086,2714.138100668514,U01,A-BAT-05
Q2-010,1,S011,S011-WAT-01,1552.1111816650086,2714.138100668514,U01,A-BAT-05
Q2-010,2,O01,,1552.1111816650086,2714.138100668514,U01,A-BAT-05
Q2-011,0,O01,,1869.7521946190163,3686.446128540928,U06,B-BAT-03
Q2-011,1,S002,"S002-MED-01,S002-WAT-04,S002-FOD-02",1869.7521946190163,3686.446128540928,U06,B-BAT-03
Q2-011,2,O01,,1869.7521946190163,3686.446128540928,U06,B-BAT-03
Q2-012,0,O01,,1907.5754478361764,3533.745839715085,U08,C-BAT-03
Q2-012,1,S001,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-06,S001-WAT-07,S001-FOD-03,S001-HYG-02",1907.5754478361764,3533.745839715085,U08,C-BAT-03
Q2-012,2,O01,,1907.5754478361764,3533.745839715085,U08,C-BAT-03
Q2-013,0,O01,,1922.7345559700407,3478.1114584163797,U05,B-BAT-04
